id,actval,predval
1510268,2.045965,2.896493
2106199,4.686614,3.584507
7222710,1.48758,1.6280562
1540871,0.8619399999999997,1.5447894
9001309,3.042789,2.5060427
1517825,2.1653,2.3288724
1539723,4.356091,5.192308
1530833,2.108383,2.7144825
1510028,2.205975,1.7609912
2103600,4.411336,3.9154027
1540783,2.2698570000000005,1.9640231
2239821,3.133318,2.980175
1510650,3.57785,3.4977787
1535030,3.0266020000000005,3.0794003
1533335,3.849446,3.6106925
2018867,2.000111,2.8314145
1530347,1.03451,5.3624616
9014374,6.092047,3.6050196
2014321,3.255191,3.5979676
1526767,2.991315,1.940269
1525286,3.211463,3.8463426
2106328,0.472998,0.4110794
1536455,3.0093360000000002,2.7000437
1537252,1.104792,0.9751892
1541803,1.163098,0.62723565
1522660,1.31295,0.55011606
9011508,0.115214,3.3177953
1521890,2.447385,4.6629887
8101135,2.729075,3.1303973
2203142,2.981224,3.4136543
1530952,2.874365,3.3423834
9012852,3.440001,3.9570022
2106826,2.90442,2.2752213
1008161,3.27862,2.8711228
1005057,1.9184489999999998,2.647671
1534377,5.651168,3.3814769
9007425,4.071243,3.6162076
1001720,3.64162,3.8494952
7221362,0.5112220000000001,1.0906403
1010124,1.311475,1.0743656
4030512,0.570269,2.503005
9012316,2.798005,2.5272534
1000041,6.667959,6.254368
8104197,1.15696,3.1415987
8103012,2.144316,2.8882833
9011060,0.5779740000000002,0.62515664
1509152,2.331397,1.9768878
4335568,5.005382,3.9102147
1509400,1.2639,1.2461576
1534592,4.067399000000001,1.5006126
1511205,7.059049,6.941301
1510207,1.7953569999999999,0.8330057
9011418,5.611459,4.3297043
2002778,1.415386,2.6983824
4321047,0.021761,2.0532765
8104112,2.888506,2.4760494
9012323,1.98501,1.9423553
9012324,1.268158,1.2220309
9007486,2.750172,2.7964077
1508408,2.6064860000000003,2.1032073
4318214,1.841731,2.2039325
1010462,3.115524,3.5435667
2209681,0.405207,0.9701248
4002545,2.974336,2.9604635
4030526,4.203714,4.2071714
1525576,3.745159,3.2961152
1509882,0.9070299999999998,1.7651565
1004057,1.463176,3.318541
1537135,2.464967,2.7990184
1010076,2.117997,1.800651
4124015,0.411187,1.5870049
1011028,2.580037,2.6914086
2100257,3.354462,3.2247114
4310078,1.8511220000000002,3.1095438
8104522,2.994485,3.197709
1522025,2.755727,2.8204045
8103680,3.543648,2.7007997
1535036,3.431199,2.8166156
1522259,2.520105,3.1012797
1537403,4.546321,3.196161
1539468,1.211373,0.41962695
2007777,3.744648,3.849452
9008323,1.593008,0.74316424
1524038,2.21815,1.7557194
1537889,2.47874,2.2695062
1535077,2.630857,2.6342292
1001669,2.255654,3.0822845
4320129,0.03817,1.0692067
1527230,1.019972,0.8187956
8103939,0.532391,0.70170474
8103645,3.952566,3.540225
1529670,3.317206,2.6874928
1000230,2.541717,3.482934
1521662,2.288363,1.9421403
1533153,0.958278,3.2408216
1514102,2.570183,2.0034518
2002855,4.077158,3.479945
1534437,2.829933,2.1362824
2107246,4.336784,3.7405694
2011977,0.7575940000000001,3.2709308
2240568,5.039921,4.8941193
4001908,3.8817510000000004,3.5319834
1007029,2.229886,2.3081958
9000453,4.301683,3.7124984
1010877,2.806577,0.8202315
4328646,3.17008,2.8916538
4319839,4.836491,5.471077
1008109,2.223896,1.6790966
7221162,1.1644460000000003,1.2606893
1538342,1.988743,2.727781
4343771,3.629114,3.4779086
1530020,2.686299,3.943476
1510361,3.00338,2.4166007
1510495,4.237798,3.0802364
1011029,4.982561,5.656263
9000272,6.315094,6.108051
1510883,3.728882,3.3522046
7221395,2.936577,1.3588585
8103810,4.388446,3.7535086
4320350,0.984767,1.1222732
1010264,2.893256,3.0949364
1525240,3.823512,3.1888242
7221219,1.2478220000000002,1.1220837
9008351,0.470716,0.9689809
1538613,2.535196,1.0540609
1535385,3.808217,2.8518333
1532347,3.445154,2.7666607
4319886,3.254924,2.5380085
1534926,3.774152,3.2297626
1531550,4.486176,4.122834
4338048,4.517202,3.4596639
1530128,1.071172,2.682893
2012416,3.35424,3.185281
8104466,0.9827819999999998,1.1962535
1000498,2.860733,3.2624147
1538612,0.724901,0.812793
4318213,2.513686,1.5534579
1537426,1.785538,1.320994
1511635,2.796231,5.36615
8102990,1.689275,1.4549111
1010945,0.133608,0.9973793
1544336,4.325795,3.730477
1521122,1.111761,2.929847
4307993,2.677788,2.562208
9005881,2.272021,3.167936
2106275,2.998293,2.6427255
9004833,2.235412,2.4983041
1538493,3.832888,2.5875578
1528275,1.201153,2.411134
1010113,3.818634,4.964804
4002264,1.266793,1.6283076
1526852,5.087285,3.3289392
1010051,3.851037,2.3571978
4327408,1.125013,3.2603736
1523975,4.503569000000001,3.8836272
1536039,3.87359,2.648899
2002786,2.477532,3.2224422
9007740,3.407668,2.5529509
1530055,0.248333,1.6366004
1540013,2.131317,3.216127
4321396,3.255514,4.4883003
1509317,2.780484,3.5187864
1532782,2.325633,3.284555
2310637,1.897664,3.5142698
4000591,1.0127920000000001,1.533022
1530922,4.811494,3.673621
2002128,3.0214,3.4344163
1539243,0.227818,1.3895291
1000184,3.066091,3.7704897
9008837,3.497602,3.153246
1521093,3.056483,2.7747524
7209382,2.554817,3.0909634
2310601,2.986603,3.1807024
1536640,1.662465,1.2629979
1530933,3.601337,3.6340218
8104430,3.910961,3.163551
1000050,6.123215,6.8547444
1010874,4.354007,3.1905947
4322507,3.268796,3.6403296
4319064,2.535538,2.4465954
8100907,5.459705,6.112331
1527503,3.2946400000000002,3.048333
1534920,3.948421,3.6927083
2002887,2.048154,1.5942533
1528277,1.574765,1.3383417
1525923,4.008989,3.6454573
2010095,3.979197,4.95601
1524992,3.680355,2.9469275
1527738,3.269191,3.5464475
1540137,2.462939,1.4173875
1510508,1.798625,3.4534287
7222499,2.709652,2.7869692
2107143,2.713494,4.26859
2106527,2.054058,2.5937817
