id,actval,predval
1509203,2.143879,2.2916384
1509153,3.055806,2.838824
7209296,2.8359370000000004,2.6520796
1509169,1.838293,1.8936975
7209304,0.5201560000000001,0.6779244
7209305,0.161867,0.6645312
4027801,3.551059,3.0831575
7015145,2.687754,2.258706
9000870,1.97659,2.0195665
7209308,1.692346,1.6175859
7209309,1.734808,1.576792
7209310,1.229253,1.2226541
9008138,1.935167,1.7482461
9008166,2.3322490000000005,2.1258554
1509204,3.04123,2.8144493
2102805,2.250247,2.50317
2002591,2.980427,2.7659516
7209314,2.014716,2.1620433
1010202,1.507505,1.8999817
4331391,2.520362,2.1048687
1509207,0.021204,0.34935308
1509209,2.060208,2.1808572
7209315,1.360323,0.91363573
7209317,0.7105160000000001,0.66221917
1509226,1.429816,1.394639
7018051,2.6432170000000004,2.0686092
1509234,1.995081,2.006947
2105338,2.357544,2.5176446
2105339,3.013278,2.891283
7209319,1.203609,1.0660436
4327326,1.97762,2.3295245
9011024,1.090961,0.737516
9011022,0.427797,0.5432519
1509147,1.103107,1.0183778
4331385,2.450174,2.6060302
1509155,3.1114479999999998,2.9857373
7103195,3.95534,3.5576239
1509154,1.068393,0.73330176
8103387,3.0504420000000003,2.8149948
7017956,4.554208,4.170861
7103193,3.381309,3.4486647
4124637,3.740377,3.2782376
2300528,3.680051,3.404403
7218093,2.1606189999999996,1.5498002
2012412,4.333575,3.684039
7209300,0.19186999999999976,0.5255213
2002678,3.433337,3.1320686
2205826,2.092385,2.1103625
9011672,2.408414,2.3296328
9008597,2.405207,2.445097
9007819,2.182708,1.9526312
8103389,4.20993,3.4482045
1010574,4.446148,4.0982156
1509263,3.194673,2.951551
1509264,3.7298770000000006,3.4105837
1509779,0.021304,0.2676332
1007137,3.413494,3.1201787
1509265,2.899923,2.3568268
2008257,4.439147,3.8701973
1509280,2.74904,2.4987009
1509281,2.745141,2.511786
1509282,2.7323049999999998,2.7817836
1509283,2.052412,1.7861819
2310064,3.746489,3.9258537
1509286,2.645324,2.036247
4027804,3.511571,3.0271912
1509288,4.322567,3.5539777
4332531,2.157499,2.0369606
9011276,1.399464,1.4203128
9011275,1.2822329999999997,1.1892723
8103391,1.251828,1.1956788
1010042,1.25455,1.2332789
1509315,2.044617,2.397279
4027805,2.81117,2.7728956
1509318,3.190341,2.8549185
4119063,3.579519,3.2229912
1509325,3.719233,2.9124162
1509326,3.337537,2.9138517
1509328,2.197446,2.3511267
1509330,3.538918,3.446744
1509332,2.664888,2.412654
1509334,2.322284,2.014797
4331395,1.480644,1.821892
4331397,3.132798,2.5769186
1509336,2.936438,2.6812491
4000938,2.427155,2.5750692
9013697,0.642846,0.6823886
1509347,1.390136,1.414813
1509351,1.2368679999999999,1.2769022
1509354,0.904909,1.0397022
1007229,3.103427,3.0251546
8103394,0.744525,0.7372255
1509374,2.291369,2.1558387
7209337,1.844451,1.3849399
2015031,1.863856,2.0263083
1509387,2.456006,2.3667636
1011025,2.510047,2.7244344
9008829,2.488344,2.7891803
1509385,0.98908,0.9665667
1509386,1.81418,1.9914161
1509389,3.691648,3.4799051
1509390,1.011294,1.5205352
4027807,2.2495779999999996,1.9007109
4027808,1.6211499999999996,1.654239
1509391,2.249163,2.2671063
2105343,3.6665460000000003,3.6593063
4316839,2.804656,2.8574114
1509392,3.666182,3.8652074
1509393,3.189507,2.9792485
7209370,1.798261,1.6914015
1509397,1.407334,1.6956317
1509398,2.118964,1.64215
1000229,2.088778,1.9888618
1509399,1.387156,1.3914112
1509403,1.4337090000000003,1.0596488
7209342,0.8779349999999999,0.7920483
1509408,0.7379900000000001,0.7420962
1509418,1.0597299999999998,0.85826606
1509419,4.197526,3.6218288
1509420,2.803897,2.6035407
1509422,2.805628,2.7054172
1509421,2.809626,2.6975355
1509423,4.693617,3.5208812
1509424,1.3684910000000001,1.5113378
4027809,3.03595,2.8235013
8103396,1.845227,1.8690431
1509425,2.074138,2.0636034
4027810,3.379195,3.073073
1509426,2.279966,2.3559134
7209345,1.7324129999999998,1.4406674
1509427,1.874215,1.6746953
1509432,2.473914,2.5583475
1509434,3.057938,2.6121612
8102914,2.875283,2.6150508
1509439,2.443941,1.8922695
1543081,0.3600949999999994,0.777279
1010262,3.325447,3.0983129
2105348,3.669108,3.358787
1509468,3.645899,3.213519
2105347,3.623656,3.3855572
2105349,3.4689970000000003,3.327527
1509473,2.354542,2.3418674
1509474,2.402114,2.3145983
7209348,1.108,0.8494458
1509475,2.306442,2.3500595
1509476,3.272071,2.8216572
1100916,2.940329,2.9619417
1509478,3.090945,2.877787
8103399,2.57987,2.3104043
7209349,2.848962,2.9693613
1509688,0.818282,0.946253
1509487,0.856,0.9606931
1509490,2.71851,2.5613718
2229539,3.788802,3.306635
1011279,1.672013,1.7877836
1509498,2.984402,2.759324
2228075,3.558443,3.3391738
2013356,2.925856,2.9188962
1509503,3.206957,2.813732
2018856,3.366781,2.466676
7209350,0.8444249999999993,0.8933415
1509504,1.378546,1.3077569
1509517,1.949364,1.7915344
1509518,2.45492,2.1834304
4027811,3.462573,3.304038
1509519,2.296546,2.2435598
1509520,1.753126,1.757515
9009508,2.0601829999999994,2.075758
9007478,2.0707619999999993,1.9828498
9002733,2.0547330000000006,1.946228
1509527,0.4161260000000002,0.772134
1509539,1.0696770000000004,0.6636383
1509556,1.1175189999999997,0.82719505
7209352,0.818936,0.90246004
4314708,2.533825,2.1488595
1509698,0.962017,0.9647714
2002859,2.105166,2.3910165
1509717,1.366827,1.4532673
4000566,0.862569,0.7803502
1509752,1.683501,1.5291232
1509761,1.129547,0.9683639
1509766,2.501266,2.3360596
4310255,1.445563,1.4739451
1007035,1.957255,1.979148
2105361,3.296601,3.172009
1509782,2.153293,2.5228908
1007030,2.263689,2.4337668
1509784,2.0495340000000004,1.7813164
4307223,2.777439,2.8432636
1509808,1.281025,1.0578158
1509810,1.825308,2.0730717
4331405,2.954077,2.4225388
7209367,1.402822,1.4444953
1008168,2.874943,2.9317138
2008199,3.1733640000000003,2.809699
1509814,2.213423,2.210422
1509816,2.153297,2.3300562
7109248,1.309485,1.0524952
9009717,1.3364869999999995,1.4040923
1509818,0.533597,0.6547324
2015215,1.19755,1.3747952
7024503,3.640956,3.30461
1509657,2.146425,1.9302306
1509658,2.339999,2.15089
4509432,2.575568,2.1875825
1509659,1.610489,1.5722375
1509660,2.454055,2.3688421
4001727,1.645592,1.7543199
1509663,3.104871,3.062096
2002150,2.90992,2.6136963
7001697,2.915628,2.7542887
1010623,3.490969,3.3617325
4027813,2.591079,2.6317556
